movie_id,movie_title,genres,keywords,overview
1,The Dark Knight,Action Crime Drama,batman joker gotham superhero villain chaos,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice
2,Inception,Action Adventure Sci-Fi,dream heist mind subconscious reality layers,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.
3,Interstellar,Adventure Drama Sci-Fi,space time wormhole gravity future survival,A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival on a distant planet beyond our galaxy
4,The Matrix,Action Sci-Fi,simulation reality hacker robot artificial intelligence,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers
5,Avengers Endgame,Action Adventure Sci-Fi,superheroes marvel time travel thanos infinity,After the devastating events of Infinity War the universe is in ruins the Avengers assemble once more to reverse Thanos actions and restore balance
6,Guardians of the Galaxy,Action Adventure Comedy,space marvel superhero music raccoon groot,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to commit genocide
7,Iron Man,Action Adventure Sci-Fi,superhero marvel billionaire suit technology armor,After being held captive in an Afghan cave a billionaire engineer creates a unique weaponized suit of armor to fight evil
8,Thor Ragnarok,Action Adventure Comedy,marvel thor hulk asgard ragnarok villain,Imprisoned on the planet Sakaar Thor must race against time to return to Asgard and stop Ragnarok the destruction of his world at the hands of the powerful and ruthless villain Hela
9,Doctor Strange,Action Adventure Fantasy,magic dimension sorcerer mystic supernatural,While on a journey of physical and spiritual healing a brilliant neurosurgeon is drawn into the world of the mystic arts
10,Spider-Man No Way Home,Action Adventure Sci-Fi,spider-man marvel multiverse villains teenager,With Spider-Mans identity now revealed Peter Parker asks Doctor Strange for help but when a spell goes wrong dangerous foes from other worlds start to appear
11,The Avengers,Action Adventure Sci-Fi,superheroes marvel team shield loki,Earths mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity
12,Captain America Civil War,Action Adventure Sci-Fi,marvel captain america iron man conflict superhero,Political involvement in the Avengers affairs causes a rift between Captain America and Iron Man
13,Black Panther,Action Adventure Sci-Fi,marvel wakanda africa king superhero vibranium,TChalla heir to the hidden but advanced kingdom of Wakanda must step forward to lead his people into a new future and must confront a challenger from his countrys past
14,Shang-Chi,Action Adventure Fantasy,marvel martial arts ten rings china superhero,Shang-Chi the master of weaponry-based Kung Fu is forced to confront his past after he is drawn into the Ten Rings organization
15,Dune,Adventure Drama Sci-Fi,desert planet prophecy chosen one house atreides,A noble family becomes embroiled in a war for control over the galaxys most valuable asset while its heir becomes troubled by visions of a dark future
16,Star Wars A New Hope,Action Adventure Fantasy,jedi force rebellion empire lightsaber,Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empires world-destroying battle station
17,Star Wars The Empire Strikes Back,Action Adventure Fantasy,jedi darth vader yoda force training,After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda
18,The Lord of the Rings Fellowship,Adventure Drama Fantasy,ring hobbit wizard elf dwarf quest,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron
19,The Lord of the Rings Two Towers,Adventure Drama Fantasy,ring war battle elf rohan stronghold,While Frodo and Sam edge closer to Mordor with the help of the creature Gollum the divided fellowship makes a stand against Sauron's new ally Saruman
20,The Lord of the Rings Return of the King,Adventure Drama Fantasy,ring frodo sauron final battle king,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring
21,Gladiator,Action Adventure Drama,roman empire warrior revenge arena fighter,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery
22,Braveheart,Action Biography Drama,scotland freedom rebellion warrior medieval,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England
23,300,Action Drama History,sparta battle war greek warrior ancient,King Leonidas of Sparta and a force of 300 men fight the Persian army at Thermopylae in 480 B.C.
24,Troy,Action Adventure Drama,greek war helen achilles sparta ancient,An adaptation of Homer's great epic the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved
25,Kingdom of Heaven,Action Adventure Drama,crusades jerusalem knight medieval war,Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century and falls between two warring factions
26,The Shawshank Redemption,Drama,prison hope friendship redemption banker murder,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency
27,The Godfather,Crime Drama,mafia family power murder Sicily Don,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son
28,Forrest Gump,Drama Romance,history life journey simple destiny love,The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man
29,Good Will Hunting,Drama Romance,genius psychology mathematics therapy identity,Will Hunting a janitor at MIT has a gift for mathematics but needs help from a psychologist to find direction in his life
30,A Beautiful Mind,Biography Drama Romance,mathematician genius schizophrenia Nobel Princeton,After John Nash a brilliant but asocial mathematician accepts secret work in cryptography his life takes a turn for the nightmarish
31,The Social Network,Biography Drama,facebook harvard college startup betrayal lawsuit,As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook he is sued by the twins who claimed he stole their idea
32,Steve Jobs,Biography Drama,apple innovation entrepreneur technology visionary,Steve Jobs takes us behind the scenes of the digital revolution to paint a portrait of the man at its epicenter
33,Moneyball,Biography Drama Sport,baseball statistics analytics Oakland team,Oakland As general manager Billy Beane attempts to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players
34,The Wolf of Wall Street,Biography Crime Drama,stock market greed excess fraud wealth,Based on the true story of Jordan Belfort from his rise to a wealthy stockbroker living the high life to his fall involving crime corruption and the federal government
35,The Big Short,Biography Comedy Drama,finance bank housing crisis Wall Street,In 2006-2007 a group of investors bet against the US mortgage market in their research they discover the flawed and corrupt system
36,Whiplash,Drama Music,drumming music ambition teacher student jazz,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential
37,La La Land,Drama Music Romance,jazz music Hollywood romance dreams actress,While navigating their careers in Los Angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future
38,Bohemian Rhapsody,Biography Drama Music,Queen Freddie Mercury band rock concert,A foot-stomping celebration of Queen their music and their extraordinary lead singer Freddie Mercury who defied stereotypes and shattered convention
39,Rocketman,Biography Drama Music,Elton John music biopic rock star fame,A musical fantasy about the fantastical human story of Elton Johns breakthrough years
40,Yesterday,Comedy Drama Music,Beatles music alternate reality fame guitar,A struggling musician realizes he is the only person on Earth who can remember The Beatles after waking up in an alternate timeline
41,Titanic,Drama Romance,ship love tragedy ocean disaster,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic
42,The Notebook,Drama Romance,love story past present memory couple,A poor yet passionate young man falls in love with a rich young woman giving her a sense of freedom then she is swept away from him by her parents
43,Pride and Prejudice,Drama Romance,England 19th century marriage class love,Sparks fly when spirited Elizabeth Bennet meets single wealthy Mr. Darcy but Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class
44,Crazy Rich Asians,Comedy Drama Romance,wealth Singapore family culture wedding,This contemporary romantic comedy based on the acclaimed bestselling novel follows native New Yorker Rachel Chu to Singapore to meet her boyfriends family
45,About Time,Comedy Drama Romance,time travel family love Britain future,At the age of 21 Tim discovers he can travel in time and change what happens and has happened in his own life
46,Get Out,Horror Mystery Thriller,racism hypnosis dark secret cult photographer,A young African-American visits his white girlfriends parents for the weekend where his simmering uneasiness about their reception of him eventually reaches a boiling point
47,Hereditary,Drama Horror Mystery,family grief supernatural occult demon curse,When the matriarch of the Graham family passes away her daughter and grandchildren begin to unravel cryptic secrets about their ancestry
48,A Quiet Place,Drama Horror Sci-Fi,silence monster survival family alien creatures,In a post-apocalyptic world a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing
49,Bird Box,Drama Horror Sci-Fi,blindfold monster survival river apocalypse,Five years after an ominous unseen presence drives most of society to suicide a mother and her two children make a desperate bid to reach safety
50,Us,Horror Thriller,doppelganger scissors family vacation shadow,A family's serene beach vacation turns to chaos when their doppelgangers appear and begin to terrorize them
51,Parasite,Comedy Drama Thriller,class rich poor family house plan deception,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan
52,Knives Out,Comedy Crime Drama,murder mystery detective family inheritance,A detective investigates the death of a patriarch of an eccentric dysfunctional family
53,Murder on the Orient Express,Crime Drama Mystery,Poirot train murder detective Belgium passenger,When a murder occurs on the train he is travelling on Poirot is recruited to solve the case
54,Sherlock Holmes,Action Adventure Mystery,Holmes Watson Victorian detective London clever,A detective story set in 1891 London following Sherlock Holmes as he brings down a nefarious lord
55,Clue,Comedy Crime Mystery,board game mansion murder suspects dinner,Based on the classic Hasbro mystery board game suspects gather in a mansion for dinner and find themselves each accused of murder
56,The Hunger Games,Action Adventure Sci-Fi,dystopia survival games teenager rebellion,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games a televised fight to the death
57,Divergent,Action Adventure Sci-Fi,dystopia faction teenager rebellion simulation,In a world divided by factions based on virtues Tris learns she is Divergent and wont fit into any one group
58,Maze Runner,Action Mystery Sci-Fi,maze teenager trap survival escape memory,Thomas is deposited in a community of boys after his memory is erased soon learning they are all trapped in a maze that will require him to join forces with fellow runners
59,Ender Game,Action Drama Sci-Fi,space military training alien war child genius,The Earths government trains the most gifted children to defend our planet
60,Ready Player One,Action Adventure Sci-Fi,virtual reality gaming future dystopia easter egg,When the creator of a virtual reality called the OASIS dies he releases a video in which he challenges all OASIS users to find his Easter Egg
